site,notes,date,timestamp,trip,lake.code,dup.num,lat,long,elev,area.km2,avg.wind.ms,siteZmax.m,ar.zmax.rat,strat.1y.2n,zmix.m,secchi.m,,,h2otemp,airtemp,domgl,dopctsat,ph,turb.fnu,fdom.qse,fdom.rfu,chla.ugl,chla.rfu,SpCond,bp.hpa,equil.temp,lab.alk,co2.ppm.sprayer,ch4.ppm.sprayer,co2.ppm.gc,ch4.ppm.gc,sd.co2.ppm.gc,sd.ch4.ppm.gc,13co2.permil,13ch4.permil,sd.13co2,sd.13ch4,d2h2o.pmil,dh218o.pmil,d13CDICavg,sd.d13CDICavg,d18ODOavg,sd.d18ODOavg,d17ODOavg,sd.d17ODOavg,o2ar.avg,sd.o2ar.ravg,doloss.wint.mgl.d,dic.mgl,doc.mgl,doc.chl.rat,uv,suva,doc.f.modern,doc.f.modern.er,d13c.corr,age,age.err,d13c.doc,d13c.source,d14c.doc,tblFieldMeasurements.Comments
shack,,9/15/16,41166,4,9,1,66.294,148.114,102,0.557,1.77,1.8,0.31,2,1.8,0.5,0.75,,5.75,2.8,10.76,86.4,8.17,1.73,252,54.85,43.79,9.27,1510,,4.2,8536.1,,,,,,,,,,,-119.77,-11.9,-7.41,0.05,26.25,0.26,1.31,0.23,17.37,0.18,,1.23,118.41,,3.81,3.21,0.997,0.002,*,25,15,-17.4,Measured,-10.92,
twin,,9/15/16,41166,4,11,1,66.186,147.493,106,4.229,1.77,1.2,3.52,2,1.2,1.2,2.7,,5.9,2.4,11.8,94.6,7.47,1.18,178.4,38.71,10.78,2.04,178,,5,1197.4,,,,,,,,,,,-145.34,-16.69,-8.49,0.21,23.47,0.13,-0.47,0.14,20.38,0.07,,0.1,26.22,,0.8,3.06,,,,,,,,,
thumb,,9/16/16,41167,4,10,1,66.175,146.144,146,0.988,2.88,1.5,0.66,2,1.5,0.8,1.44,,6.23,2.4,10.87,87.9,7.71,8.99,,26.87,86.59,18.55,150,,4.6,1325.9,,,,,,,,,,,-135.91,-14.63,-3.61,0.16,18.74,0.02,-2.21,0.16,17.65,0.71,,0.1,28.4,,0.63,2.23,,,,,,,,,
westcrz,,9/16/16,41167,4,12,1,65.929,146.596,303,0.501,1.77,4.6,0.11,2,4.6,3,1.760869565,,8.91,2.3,10.09,87.1,7.12,-0.34,93.66,20.12,4.90,0.96,115,,8,573.3,,,,,,,,,,,-149.65,-17.15,-8.94,0.41,23.25,0.01,-0.48,0.01,20.11,0.18,,0.05,13.75,,0.4,2.92,,,,,,,,,
yf02,,9/14/16,41165,4,13,1,66.539,145.866,124,1.164,1.77,5.1,0.23,2,5.1,1.7,0.9,,8.79,2.9,9.49,81.8,7.89,5.07,107.41,23.28,12.41,2.59,415,,,3926.6,,,,,,,,,,,-132.17,-13.61,-5.58,0.03,21.76,0.3,-0.87,0.48,17.87,0.16,,0.35,21.98,,0.47,2.13,,,,,,,,,
yf03,,9/14/16,41165,4,14,1,66.652,145.692,125,0.68,1.77,2.3,0.3,2,2.3,2.3,2.7,,6.62,1.5,11.74,95.8,8.69,0.96,53.24,11.51,1.27,0.22,219,,,1416.1,,,,,,,,,,,-151.09,-18.15,,,,,,,,,,0.12,9.5,,0.25,2.64,,,,,,,,,
yf08,,9/14/16,41165,4,15,1,66.703,145.559,125,1.627,1.77,4.8,0.34,2,4.8,3.5,1.96875,,7.94,0.36,10.32,87,7.25,0.06,96.67,20.72,3.99,0.76,129,,,1151.5,,,,,,,,,,,-166.72,-20.96,-11.54,0.13,23.09,0.03,-0.11,0.39,19.09,0.3,,0.1,11.3,,0.31,2.71,,,,,,,,,
yf09,,9/14/16,41165,4,16,1,66.707,145.702,124,0.79,1.77,2.2,0.36,2,2.2,2.2,2.7,,7.26,1.6,10.63,88.1,7.25,0.12,92.43,20.05,3.71,0.77,128,,,1147.7,,,,,,,,,,,-166.68,-20.98,-11.15,0.07,23.28,0.23,-0.05,0.42,18.16,0.13,,0.1,11.17,,0.3,2.7,,,,,,,,,
yf14,depth from spring,9/17/16,41168,4,17,1,66.228,146.948,108,1.292,1.77,2,0.65,2,2,,0,,6.03,1.5,11.65,93.7,7.42,-0.12,71.44,15.57,4.16,0.82,117,,,659.3,,,,,,,,,,,-137.71,-16.71,-8.6,0.13,21.15,0.13,-1.21,0.22,20.54,0.1,,0.06,11.13,,0.32,2.85,,,,,,,,,
yf17,,9/17/16,41168,4,18,1,66.321,146.267,120,1.746,1.77,1.6,1.09,2,1.6,1.6,2.7,,5.77,6.7,9.21,73.6,8.61,3.07,120.96,25.95,23.73,5.27,511,,,4074.7,,,,,,,,,,,-115.89,-11.06,-6.4,0.05,19.19,0.22,-2.33,0.29,17.32,0.18,,0.32,35.49,,0.54,1.53,,,,,,,,,
yf18,,9/14/16,41165,4,19,1,66.785,145.789,126,1.625,1.77,3.7,0.44,2,3.7,2.3,1.678378378,,7.47,0,11.11,92.7,7.77,1.48,117.28,25.44,10.70,2.08,372,,6.2,1841,,,,,,,,,,,-149.89,-17.35,,,,,,,,,,0.14,18.55,,0.45,2.43,,,,,,,,,
yf20,,9/14/16,41165,4,20,1,66.638,145.775,123,0.593,1.77,0.5,1.19,2,0.5,0.5,2.7,,5.82,2.2,12.24,97.9,8.1,5.53,58.77,12.83,12.67,1.09,261,,,1965.8,,,,,,,,,,,-147.94,-17.61,-8.22,0.21,19.57,0.08,-2.72,0.24,20.85,0.79,,0.16,10.01,,0.25,2.5,,,,,,,,,
12mile,water isotope from fall/depth from fall,4/6/17,41369,5,1,1,,,134,3.413,0,12.8,0.27,,,2.4,,,0.15,-1.6,5.93,40.8,7.77,-3.02,159.43,39.04,8.92,1.84,662,,,,3200,6.1,,,,,,,,,,-12.25,-7.75,,25.79,,,,10.12,,-0.008910891,,,,,,,,,,,,,,
9mile,water isotope from fall/depth from fall,4/7/17,41370,5,2,1,,,122,3.331,0,2,1.67,,,1.6,,,-0.26,-2.8,1.93,13.2,7.8,-1.67,157.89,38.73,30.84,6.5,433,,,,3460,20700,,,,,,,,,,-12.81,-7.48,,32.55,,,,2.67,,-0.043267327,,,,,,,,,,,,,,Macrophytes in ice right to surface of ice. Some CH4 bubbles in ice.
abraham,water isotope from fall/depth from fall,4/5/17,41368,5,3,1,,,120,0.781,0,2.2,0.36,,,2,,,0.36,0.4,0.9,6.3,7.47,-2.32,271.6,66.61,12.95,2.7,378,,,,5660,2700,,,,,,,,,,-15.12,-9.87,,26.04,,,,3.76,,-0.046666667,,,,,,,,,,,,,,7 pockets of CH4 bubbles within 4 ft of ice hole
boot,water isotope from fall/depth from fall,4/5/17,41368,5,4,1,,,231,0.734,0,16.9,0.04,,,4.3,,,1.33,-6.5,7.35,52.9,7.76,-3.14,125.07,30.56,12.68,2.54,194,,,,,,,,,,,,,,,-14.62,-11.72,,25.36,,,,12.6,,-0.008656716,,,,,,,,,,,,,,
buddy,water isotope from fall/depth from fall,4/6/17,41369,5,21,1,,,136,1.17,0,5.6,0.21,,,3.2,,,1.82,-1.7,3.09,22.3,7.5,-2.88,198.91,48.74,10.78,2.24,478,,,,5300,572,,,,,,,,,,-14.25,-8.99,,30.47,,,,5,,-0.034158416,,,,,,,,,,,,,,
canvas_raft,water isotope from fall/depth from fall,4/6/17,41369,5,5,1,,,117,2.832,0,1.5,1.89,,,1.1,,,0.04,-0.9,1.41,9.8,7.53,-2.12,248.95,60.93,13.69,2.85,1588,,,,17000,28000,,,,,,,,,,-11.56,-8.84,,45.15,,,,2.4,,-0.039902439,,,,,,,,,,,,,,"Saw CH4 bubbles in ice, macrophytes in ice."
greenpepper(yf15),water isotope from fall/depth from fall,4/5/17,41368,5,6,1,,,204,0.967,0,7,0.14,,,2.3,,,0,0,3.56,24.6,8.83,-2.8,38.6,9.33,12.68,2.51,974,,,,454,1324,,,,,,,,,,-10.13,-4.74,,29.51,,,,6.53,,-0.025721393,,,,,,,,,,,,,,Striegl equil T = 2.9
sandsoftime,water isotope from fall/depth from fall,4/4/17,41367,5,7,1,,,226,0.747,0,6.5,0.11,,,2.5,,,0.43,-0.7,9.05,62.7,8,-2.46,137.35,33.73,3.74,0.74,173,,,,2560,10.6,,,,,,,,,,-14.22,-9.82,,25.92,,,,12.13,,-0.001940299,,,,,,,,,,,,,,
scoter(yf16),water isotope from fall/depth from fall,4/7/17,41370,5,8,1,,,127,4.555,0,4.5,1.01,,,2.2,,,0,-2.7,3.08,21.1,7.8,-2.95,86.8,21.2,8.47,1.75,268,,,,4100,3.7,,,,,,,,,,-13.62,-6.85,,25.29,,,,5.53,,-0.030742574,,,,,,,,,,,,,,
shack,water isotope from fall/depth from fall,4/4/17,41367,5,9,1,,,102,0.557,0,1.8,0.31,,,0.5,,,0.3,0,1.09,7.6,7.98,13.55,175.49,42.67,51.74,10.76,2522,,,,7500,8150,,,,,,,,,,-11.9,-11.65,,27.86,,,,3.88,,-0.048109453,,,,,,,,,,,,,,Striegl equil T = 4.3
thumb,water isotope from fall/depth from spring,4/7/17,41370,5,10,1,,,146,0.988,0,1.5,0.66,,,0.8,,,0.09,-3.2,1.44,9.9,6.83,0.43,212.21,53.3,11.86,2.47,308,,,,19000,29000,,,,,,,,,,-14.63,-5.25,,32.31,,,,2.81,,,,,,,,,,,,,,,,
westcrz,water isotope from fall/depth from fall,4/5/17,41368,5,12,1,,,303,0.501,0,4.6,0.11,,,3,,,0.48,-1.6,9.56,66.3,7.26,-3.06,114.34,27.96,9.03,1.86,146,,,,3125,1.6,,,,,,,,,,-17.15,-12.57,,26.44,,,,11.22,,-0.002636816,,,,,,,,,,,,,,
yf14,water isotope from fall/depth from spring,4/7/17,41370,5,17,1,,,108,1.292,0,2,0.65,,,,,,1.82,-3.7,2.16,15.6,7.62,-2.95,88.85,21.66,1.84,0.34,179,,,,6000,36,,,,,,,,,,-16.71,-12.62,,26.96,,,,3.87,,-0.046980198,,,,,,,,,,,,,,
yf18,water isotope from fall/depth from fall,4/6/17,41369,5,19,1,,,126,1.625,0,3.7,0.44,,,2.3,,,0.34,1.3,1.25,8.7,7.16,-1.68,146.39,35.75,5.53,1.12,482,,,,9400,1152,,,,,,,,,,-17.35,-13.87,,25.61,,,,3.87,,-0.048333333,,,,,,,,,,,,,,
